year,title
1988,Speech Production Using A Neural Network with a Cooperative Learning Mechanism
1997,A Mathematical Model of Axon Guidance by Diffusible Factors
1997,Instabilities in Eye Movement Control: A Model of Periodic Alternating Nystagmus
1997,Boltzmann Machine Learning Using Mean Field Theory and Linear Response Correction
1997,Selecting Weighting Factors in Logarithmic Opinion Pools
1997,Visual Navigation in a Robot Using Zig-Zag Behavior
1997,A Hippocampal Model of Recognition Memory
1997,Correlates of Attention in a Model of Dynamic Visual Recognition
1997,S-Map: A Network with a Simple Self-Organization Algorithm for Generative Topographic Mappings
1997,An Incremental Nearest Neighbor Algorithm with Queries
1997,Competitive On-line Linear Regression
1988,Connectionist Learning of Expert Preferences by Comparison Training
1997,How to Dynamically Merge Markov Decision Processes
1997,Bayesian Model of Surface Perception
1997,An Application of Reversible-Jump MCMC to Multivariate Spherical Gaussian Mixtures
1997,Gradients for Retinotectal Mapping
1997,Learning Nonlinear Overcomplete Representations for Efficient Coding
1997,Experiences with Bayesian Learning in a Real World Application
1997,"RCC Cannot Compute Certain FSA, Even with Arbitrary Transfer Functions"
1997,Enhancing Q-Learning for Optimal Asset Allocation
1997,Modelling Seasonality and Trends in Daily Rainfall Data
1988,Temporal Representations in a Connectionist Speech System
1997,Perturbative M-Sequences for Auditory Systems Identification
1997,Learning to Order Things
1997,The Storage Capacity of a Fully-Connected Committee Machine
1997,A Generic Approach for Identification of Event Related Brain Potentials via a Competitive Neural Network Structure
1997,Hybrid Reinforcement Learning and Its Application to Biped Robot Control
1997,Incorporating Contextual Information in White Blood Cell Identification
1997,Ensemble and Modular Approaches for Face Detection: A Comparison
1997,Wavelet Models for Video Time-Series
1997,Learning Path Distributions Using Nonequilibrium Diffusion Networks
1997,Neural Basis of Object-Centered Representations
1988,A Passive Shared Element Analog Electrical Cochlea
1997,Two Approaches to Optimal Annealing
1997,On the Infeasibility of Training Neural Networks with Small Squared Errors
1997,Using Helmholtz Machines to Analyze Multi-channel Neuronal Recordings
